Region	Month of Period End	Median Sale Price	Median Sale Price MoM 	Median Sale Price YoY 	Homes Sold	Homes Sold MoM 	Homes Sold YoY 	New Listings	New Listings MoM 	New Listings YoY 	Inventory	Inventory MoM 	 Inventory YoY 	Days on Market	Days on Market MoM	Days on Market YoY	Average Sale To List	Average Sale To List MoM 	Average Sale To List YoY 
"San Antonio, TX"	4/1/2013	$155K	3.30%	4.00%	"1,210"	1.90%	12.60%	"1,650"	-1.70%	2.90%	"3,957"	-2.80%	-19.10%	42	-13	-16	97.80%	0.90%	1.10%
"San Antonio, TX"	5/1/2013	$163K	4.80%	6.20%	"1,549"	28.00%	28.80%	"1,804"	9.30%	7.40%	"3,962"	0.10%	-19.90%	36	-6	-13	97.70%	-0.10%	1.00%
"San Antonio, TX"	6/1/2013	$167K	2.80%	5.50%	"1,456"	-6.00%	14.50%	"1,663"	-7.80%	3.90%	"4,198"	6.00%	-15.60%	34	-2	-14	97.60%	-0.10%	0.20%
"San Antonio, TX"	7/1/2013	$168K	0.60%	8.40%	"1,532"	5.20%	27.20%	"1,865"	12.10%	18.00%	"4,560"	8.60%	-9.60%	36	2	-13	97.70%	0.10%	0.60%
"San Antonio, TX"	8/1/2013	$165K	-1.80%	10.00%	"1,441"	-5.90%	11.80%	"1,577"	-15.40%	9.80%	"4,495"	-1.40%	-8.30%	41	5	-13	97.50%	-0.10%	1.10%
"San Antonio, TX"	9/1/2013	$156K	-5.50%	6.10%	"1,212"	-15.90%	18.40%	"1,241"	-21.30%	3.40%	"4,253"	-5.40%	-10.00%	47	6	-4	97.40%	-0.10%	0.60%
"San Antonio, TX"	10/1/2013	$159K	1.90%	9.70%	"1,136"	-6.30%	11.00%	"1,360"	9.60%	7.90%	"4,131"	-2.90%	-8.70%	55	8	-2	96.50%	-0.90%	-0.30%
"San Antonio, TX"	11/1/2013	$160K	0.60%	8.10%	"1,038"	-8.60%	4.40%	"1,087"	-20.10%	0.70%	"3,971"	-3.90%	-7.40%	57	2	1	97.20%	0.60%	0.40%
"San Antonio, TX"	12/1/2013	$162K	1.30%	6.60%	"1,116"	7.50%	16.00%	795	-26.90%	-5.80%	"3,595"	-9.50%	-10.90%	51	-6	-12	97.10%	-0.10%	0.80%
"San Antonio, TX"	1/1/2014	$150K	-7.40%	7.10%	821	-26.40%	3.00%	"1,324"	66.50%	8.70%	"3,718"	3.40%	-7.10%	58	7	-9	96.90%	-0.10%	0.40%
"San Antonio, TX"	2/1/2014	$164K	9.30%	9.30%	941	14.60%	7.30%	"1,413"	6.70%	3.30%	"3,811"	2.50%	-4.80%	61	3	-9	97.40%	0.50%	0.70%
"San Antonio, TX"	3/1/2014	$163K	-0.50%	8.80%	"1,142"	21.40%	-3.80%	"1,698"	20.20%	1.20%	"3,981"	4.50%	-2.20%	48	-13	-7	97.20%	-0.20%	0.30%
"San Antonio, TX"	4/1/2014	$170K	3.80%	9.40%	"1,271"	11.30%	5.00%	"1,806"	6.40%	9.50%	"4,021"	1.00%	1.60%	38	-10	-4	97.50%	0.30%	-0.30%
"San Antonio, TX"	5/1/2014	$175K	3.20%	7.70%	"1,411"	11.00%	-8.90%	"1,913"	5.90%	6.00%	"4,025"	0.10%	1.60%	37	-1	1	97.90%	0.40%	0.20%
"San Antonio, TX"	6/1/2014	$175K	-0.10%	4.70%	"1,469"	4.10%	0.90%	"1,813"	-5.20%	9.00%	"4,248"	5.50%	1.20%	34	-3	0	97.80%	-0.10%	0.20%
"San Antonio, TX"	7/1/2014	$173K	-0.80%	3.30%	"1,536"	4.60%	0.30%	"1,743"	-3.90%	-6.50%	"4,424"	4.10%	-3.00%	32	-2	-4	97.90%	0.10%	0.20%
"San Antonio, TX"	8/1/2014	$168K	-3.30%	1.60%	"1,420"	-7.60%	-1.50%	"1,676"	-3.80%	6.30%	"4,362"	-1.40%	-3.00%	39	7	-2	97.50%	-0.40%	0.00%
"San Antonio, TX"	9/1/2014	$169K	0.90%	8.50%	"1,364"	-3.90%	12.50%	"1,324"	-21.00%	6.70%	"4,129"	-5.30%	-2.90%	42	3	-5	97.40%	-0.10%	0.00%
"San Antonio, TX"	10/1/2014	$163K	-4.00%	2.20%	"1,285"	-5.80%	13.10%	"1,459"	10.20%	7.30%	"4,099"	-0.70%	-0.80%	46	4	-9	97.20%	-0.30%	0.60%
"San Antonio, TX"	11/1/2014	$165K	1.50%	3.10%	"1,014"	-21.10%	-2.30%	"1,066"	-26.90%	-1.90%	"3,809"	-7.10%	-4.10%	50	4	-7	97.50%	0.30%	0.30%
"San Antonio, TX"	12/1/2014	$166K	0.60%	2.50%	"1,230"	21.30%	10.20%	922	-13.50%	16.00%	"3,444"	-9.60%	-4.20%	47	-3	-4	97.20%	-0.20%	0.20%
"San Antonio, TX"	1/1/2015	$164K	-1.40%	9.20%	866	-29.60%	5.50%	"1,203"	30.50%	-9.10%	"3,447"	0.10%	-7.30%	57	10	-1	97.10%	-0.20%	0.10%
"San Antonio, TX"	2/1/2015	$175K	6.90%	6.70%	991	14.40%	5.30%	"1,435"	19.30%	1.60%	"3,493"	1.30%	-8.30%	55	-2	-6	97.60%	0.60%	0.20%
"San Antonio, TX"	3/1/2015	$170K	-2.90%	4.10%	"1,285"	29.70%	12.50%	"1,729"	20.50%	1.80%	"3,533"	1.10%	-11.30%	39	-16	-9	98.00%	0.40%	0.80%
"San Antonio, TX"	4/1/2015	$173K	1.60%	1.90%	"1,406"	9.40%	10.60%	"1,926"	11.40%	6.60%	"3,703"	4.80%	-7.90%	32	-7	-6	97.80%	-0.20%	0.30%
"San Antonio, TX"	5/1/2015	$183K	6.00%	4.60%	"1,475"	4.90%	4.50%	"1,991"	3.40%	4.10%	"3,947"	6.60%	-1.90%	30	-2	-7	98.50%	0.70%	0.60%
"San Antonio, TX"	6/1/2015	$185K	1.00%	5.70%	"1,693"	14.80%	15.20%	"2,061"	3.50%	13.70%	"4,093"	3.70%	-3.60%	31	1	-3	98.30%	-0.10%	0.50%
"San Antonio, TX"	7/1/2015	$180K	-2.70%	3.70%	"1,673"	-1.20%	8.90%	"2,140"	3.80%	22.80%	"4,404"	7.60%	-0.50%	31	0	-1	98.50%	0.20%	0.70%
"San Antonio, TX"	8/1/2015	$184K	2.00%	9.40%	"1,525"	-8.80%	7.40%	"1,709"	-20.10%	2.00%	"4,308"	-2.20%	-1.20%	34	3	-5	98.40%	-0.10%	0.90%
"San Antonio, TX"	9/1/2015	$178K	-3.20%	5.00%	"1,407"	-7.70%	3.20%	"1,520"	-11.10%	14.80%	"4,185"	-2.90%	1.40%	38	4	-4	98.00%	-0.40%	0.60%
"San Antonio, TX"	10/1/2015	$170K	-4.40%	4.60%	"1,299"	-7.70%	1.10%	"1,448"	-4.70%	-0.80%	"4,039"	-3.50%	-1.50%	44	6	-2	97.80%	-0.20%	0.70%
"San Antonio, TX"	11/1/2015	$170K	0.10%	3.00%	"1,032"	-20.60%	1.80%	"1,190"	-17.80%	11.60%	"3,828"	-5.20%	0.50%	45	1	-5	97.80%	-0.10%	0.30%
"San Antonio, TX"	12/1/2015	$175K	2.90%	5.40%	"1,325"	28.40%	7.70%	954	-19.80%	3.50%	"3,457"	-9.70%	0.40%	47	2	0	98.00%	0.30%	0.80%
"San Antonio, TX"	1/1/2016	$170K	-2.90%	3.80%	895	-32.50%	3.30%	"1,353"	41.80%	12.50%	"3,575"	3.40%	3.70%	56	9	-1	97.50%	-0.60%	0.40%
"San Antonio, TX"	2/1/2016	$173K	1.50%	-1.40%	"1,112"	24.20%	12.20%	"1,561"	15.40%	8.80%	"3,579"	0.10%	2.50%	53	-3	-2	97.70%	0.20%	0.10%
"San Antonio, TX"	3/1/2016	$179K	3.70%	5.30%	"1,469"	32.10%	14.30%	"1,977"	26.60%	14.30%	"3,760"	5.10%	6.40%	41	-12	2	98.10%	0.40%	0.10%
"San Antonio, TX"	4/1/2016	$182K	1.40%	5.10%	"1,381"	-6.00%	-1.80%	"1,932"	-2.30%	0.30%	"3,915"	4.10%	5.70%	33	-8	1	98.30%	0.20%	0.50%
"San Antonio, TX"	5/1/2016	$190K	4.40%	3.60%	"1,577"	14.20%	6.90%	"1,883"	-2.50%	-5.40%	"3,955"	1.00%	0.20%	31	-2	1	98.50%	0.20%	0.00%
"San Antonio, TX"	6/1/2016	$191K	1.00%	3.50%	"1,692"	7.30%	-0.10%	"1,922"	2.10%	-6.70%	"4,055"	2.50%	-0.90%	33	2	2	98.60%	0.10%	0.30%
"San Antonio, TX"	7/1/2016	$192K	0.20%	6.70%	"1,591"	-6.00%	-4.90%	"1,891"	-1.60%	-11.60%	"4,280"	5.50%	-2.80%	32	-1	1	98.80%	0.20%	0.20%
"San Antonio, TX"	8/1/2016	$189K	-1.50%	3.00%	"1,608"	1.10%	5.40%	"1,715"	-9.30%	0.40%	"4,138"	-3.30%	-3.90%	34	2	0	98.30%	-0.50%	-0.10%
"San Antonio, TX"	9/1/2016	$181K	-4.00%	2.10%	"1,441"	-10.40%	2.40%	"1,438"	-16.20%	-5.40%	"3,940"	-4.80%	-5.90%	38	4	0	98.10%	-0.20%	0.10%
"San Antonio, TX"	10/1/2016	$184K	1.40%	8.30%	"1,332"	-7.60%	2.50%	"1,371"	-4.70%	-5.30%	"3,740"	-5.10%	-7.40%	42	4	-2	98.00%	0.00%	0.20%
"San Antonio, TX"	11/1/2016	$178K	-3.30%	4.70%	"1,184"	-11.10%	14.70%	"1,203"	-12.30%	1.10%	"3,544"	-5.20%	-7.40%	42	0	-3	97.60%	-0.40%	-0.10%
"San Antonio, TX"	12/1/2016	$183K	2.80%	4.60%	"1,294"	9.30%	-2.30%	"1,090"	-9.40%	14.30%	"3,314"	-6.50%	-4.10%	45	3	-2	97.70%	0.10%	-0.30%
"San Antonio, TX"	1/1/2017	$175K	-4.40%	2.90%	908	-29.80%	1.50%	"1,394"	27.90%	3.00%	"3,366"	1.60%	-5.80%	45	0	-11	97.70%	0.00%	0.20%
"San Antonio, TX"	2/1/2017	$183K	4.60%	6.00%	"1,099"	21.00%	-1.20%	"1,470"	5.50%	-5.80%	"3,446"	2.40%	-3.70%	46	1	-7	98.20%	0.50%	0.50%
"San Antonio, TX"	3/1/2017	$180K	-1.60%	0.60%	"1,434"	30.50%	-2.40%	"2,048"	39.30%	3.60%	"3,671"	6.50%	-2.40%	35	-11	-6	97.90%	-0.30%	-0.20%
"San Antonio, TX"	4/1/2017	$192K	6.70%	5.90%	"1,354"	-5.60%	-2.00%	"1,900"	-7.20%	-1.70%	"3,816"	3.90%	-2.50%	33	-2	0	98.60%	0.60%	0.30%
"San Antonio, TX"	5/1/2017	$196K	1.70%	3.20%	"1,727"	27.50%	9.50%	"2,143"	12.80%	13.80%	"3,983"	4.40%	0.70%	30	-3	-1	98.70%	0.10%	0.20%
"San Antonio, TX"	6/1/2017	$200K	2.30%	4.40%	"1,747"	1.20%	3.30%	"2,170"	1.30%	12.90%	"4,321"	8.50%	6.60%	29	-1	-4	98.70%	0.10%	0.10%
"San Antonio, TX"	7/1/2017	$195K	-2.50%	1.60%	"1,627"	-6.90%	2.30%	"1,960"	-9.70%	3.60%	"4,406"	2.00%	2.90%	33	4	1	98.80%	0.10%	0.10%
"San Antonio, TX"	8/1/2017	$198K	1.50%	4.70%	"1,619"	-0.50%	0.70%	"1,830"	-6.60%	6.70%	"4,363"	-1.00%	5.40%	34	1	0	98.30%	-0.60%	0.00%
"San Antonio, TX"	9/1/2017	$192K	-3.00%	5.80%	"1,435"	-11.40%	-0.40%	"1,603"	-12.40%	11.50%	"4,373"	0.20%	11.00%	38	4	0	98.20%	0.00%	0.20%
"San Antonio, TX"	10/1/2017	$186K	-3.10%	1.10%	"1,369"	-4.60%	2.80%	"1,495"	-6.70%	9.00%	"4,144"	-5.20%	10.80%	41	3	-1	98.00%	-0.20%	0.00%
"San Antonio, TX"	11/1/2017	$189K	1.90%	6.40%	"1,279"	-6.60%	8.00%	"1,248"	-16.50%	3.70%	"3,895"	-6.00%	9.90%	44	3	2	97.80%	-0.20%	0.20%
"San Antonio, TX"	12/1/2017	$195K	2.90%	6.60%	"1,301"	1.70%	0.50%	979	-21.60%	-10.20%	"3,495"	-10.30%	5.50%	53	9	8	97.70%	-0.10%	0.00%
"San Antonio, TX"	1/1/2018	$185K	-5.20%	5.70%	982	-24.50%	8.10%	"1,460"	49.10%	4.70%	"3,575"	2.30%	6.20%	52	-1	7	97.80%	0.10%	0.10%
"San Antonio, TX"	2/1/2018	$190K	2.50%	3.60%	"1,091"	11.10%	-0.70%	"1,429"	-2.10%	-2.80%	"3,607"	0.90%	4.70%	48	-4	2	98.10%	0.30%	-0.10%
"San Antonio, TX"	3/1/2018	$197K	3.90%	9.40%	"1,517"	39.00%	5.80%	"2,007"	40.40%	-2.00%	"3,736"	3.60%	1.80%	39	-9	4	98.30%	0.20%	0.40%
"San Antonio, TX"	4/1/2018	$198K	0.50%	3.00%	"1,524"	0.50%	12.60%	"1,939"	-3.40%	2.10%	"3,735"	0.00%	-2.10%	30	-9	-3	98.50%	0.10%	-0.10%
"San Antonio, TX"	5/1/2018	$207K	4.50%	5.90%	"1,737"	14.00%	0.60%	"2,259"	16.50%	5.40%	"4,068"	8.90%	2.10%	30	0	0	98.60%	0.20%	0.00%
"San Antonio, TX"	6/1/2018	$212K	2.40%	6.10%	"1,725"	-0.70%	-1.30%	"2,119"	-6.20%	-2.40%	"4,309"	5.90%	-0.30%	30	0	1	98.70%	0.10%	-0.10%
"San Antonio, TX"	7/1/2018	$207K	-2.40%	6.20%	"1,715"	-0.60%	5.40%	"2,061"	-2.70%	5.20%	"4,417"	2.50%	0.20%	31	1	-2	98.40%	-0.30%	-0.40%
"San Antonio, TX"	8/1/2018	$210K	1.20%	5.90%	"1,709"	-0.30%	5.60%	"1,970"	-4.40%	7.70%	"4,487"	1.60%	2.80%	33	2	-1	98.30%	-0.20%	0.00%
"San Antonio, TX"	9/1/2018	$200K	-4.80%	3.90%	"1,339"	-21.70%	-6.70%	"1,396"	-29.10%	-12.90%	"4,227"	-5.80%	-3.30%	34	1	-4	98.00%	-0.20%	-0.20%
"San Antonio, TX"	10/1/2018	$202K	1.30%	8.60%	"1,423"	6.30%	3.90%	"1,615"	15.70%	8.00%	"4,194"	-0.80%	1.20%	42	8	1	98.10%	0.00%	0.00%
"San Antonio, TX"	11/1/2018	$196K	-3.00%	3.50%	"1,241"	-12.80%	-3.00%	"1,441"	-10.80%	15.50%	"4,108"	-2.10%	5.50%	46	4	2	97.80%	-0.30%	-0.10%
"San Antonio, TX"	12/1/2018	$209K	6.60%	7.20%	"1,254"	1.00%	-3.60%	"1,077"	-25.30%	10.00%	"3,900"	-5.10%	11.60%	47	1	-6	97.80%	0.10%	0.10%
"San Antonio, TX"	1/1/2019	$192K	-8.10%	3.80%	979	-21.90%	-0.30%	"1,573"	46.10%	7.70%	"3,998"	2.50%	11.80%	53	6	1	97.40%	-0.40%	-0.40%
"San Antonio, TX"	2/1/2019	$200K	4.20%	5.50%	"1,149"	17.40%	5.30%	"1,585"	0.80%	10.90%	"4,021"	0.60%	11.50%	49	-4	1	97.90%	0.50%	-0.20%
"San Antonio, TX"	3/1/2019	$204K	2.00%	3.60%	"1,543"	34.30%	1.70%	"1,963"	23.80%	-2.20%	"4,119"	2.40%	10.30%	40	-9	1	98.10%	0.20%	-0.20%
"San Antonio, TX"	4/1/2019	$206K	1.00%	4.00%	"1,588"	2.90%	4.20%	"2,117"	7.80%	9.20%	"4,217"	2.40%	12.90%	36	-4	6	98.30%	0.20%	-0.10%
"San Antonio, TX"	5/1/2019	$214K	3.90%	3.40%	"1,837"	15.70%	5.80%	"2,283"	7.80%	1.10%	"4,395"	4.20%	8.00%	34	-2	4	98.70%	0.30%	0.00%
"San Antonio, TX"	6/1/2019	$220K	2.80%	3.80%	"1,719"	-6.40%	-0.30%	"2,091"	-8.40%	-1.30%	"4,601"	4.70%	6.80%	31	-3	1	98.70%	0.00%	0.00%
"San Antonio, TX"	7/1/2019	$210K	-4.50%	1.40%	"1,715"	-0.20%	0.00%	"2,143"	2.50%	4.00%	"4,723"	2.70%	6.90%	31	0	0	98.30%	-0.40%	-0.10%
"San Antonio, TX"	8/1/2019	$215K	2.40%	2.60%	"1,821"	6.20%	6.60%	"1,955"	-8.80%	-0.80%	"4,699"	-0.50%	4.70%	35	4	2	98.40%	0.10%	0.10%
"San Antonio, TX"	9/1/2019	$210K	-2.30%	5.30%	"1,398"	-23.20%	4.40%	"1,651"	-15.50%	18.30%	"4,576"	-2.60%	8.30%	38	3	4	98.40%	0.00%	0.40%
"San Antonio, TX"	10/1/2019	$207K	-1.40%	2.50%	"1,465"	4.80%	3.00%	"1,793"	8.60%	11.00%	"4,568"	-0.20%	8.90%	48	10	6	97.90%	-0.60%	-0.20%
"San Antonio, TX"	11/1/2019	$204K	-1.60%	3.90%	"1,314"	-10.30%	5.90%	"1,457"	-18.70%	1.10%	"4,449"	-2.60%	8.30%	44	-4	-2	98.00%	0.10%	0.20%
"San Antonio, TX"	12/1/2019	$211K	3.60%	1.00%	"1,429"	8.80%	14.00%	"1,141"	-21.70%	5.90%	"4,073"	-8.50%	4.40%	52	8	5	97.80%	-0.10%	0.00%
"San Antonio, TX"	1/1/2020	$201K	-4.70%	4.70%	"1,095"	-23.40%	11.80%	"1,565"	37.20%	-0.50%	"4,112"	1.00%	2.90%	57	5	4	97.70%	-0.10%	0.40%
"San Antonio, TX"	2/1/2020	$214K	6.50%	7.00%	"1,234"	12.70%	7.40%	"1,588"	1.50%	0.20%	"4,027"	-2.10%	0.10%	56	-1	7	97.60%	-0.10%	-0.20%
"San Antonio, TX"	3/1/2020	$216K	0.90%	5.90%	"1,506"	22.00%	-2.40%	"1,824"	14.90%	-7.10%	"3,928"	-2.50%	-4.60%	47	-9	7	98.30%	0.70%	0.20%
"San Antonio, TX"	4/1/2020	$215K	-0.50%	4.40%	"1,381"	-8.30%	-13.00%	"1,557"	-14.60%	-26.50%	"3,962"	0.90%	-6.00%	34	-13	-2	98.30%	0.00%	0.00%
"San Antonio, TX"	5/1/2020	$222K	3.40%	3.90%	"1,365"	-1.20%	-25.70%	"1,870"	20.10%	-18.10%	"3,845"	-3.00%	-12.50%	40	6	6	98.40%	0.10%	-0.20%
"San Antonio, TX"	6/1/2020	$229K	3.00%	4.10%	"1,827"	33.80%	6.30%	"1,741"	-6.90%	-16.70%	"3,387"	-11.90%	-26.40%	34	-6	3	98.40%	0.00%	-0.30%
"San Antonio, TX"	7/1/2020	$230K	0.40%	9.50%	"1,991"	9.00%	16.10%	"1,940"	11.40%	-9.50%	"3,303"	-2.50%	-30.10%	32	-2	1	98.60%	0.20%	0.30%
"San Antonio, TX"	8/1/2020	$233K	1.20%	8.30%	"1,668"	-16.20%	-8.40%	"1,771"	-8.70%	-9.40%	"3,185"	-3.60%	-32.20%	27	-5	-8	98.90%	0.30%	0.50%
"San Antonio, TX"	9/1/2020	$232K	-0.40%	10.30%	"1,670"	0.10%	19.50%	"1,729"	-2.40%	4.70%	"3,107"	-2.40%	-32.10%	28	1	-10	99.10%	0.20%	0.70%
"San Antonio, TX"	10/1/2020	$233K	0.30%	12.30%	"1,675"	0.30%	14.30%	"1,753"	1.40%	-2.20%	"3,052"	-1.80%	-33.20%	27	-1	-21	98.90%	-0.20%	1.00%
"San Antonio, TX"	11/1/2020	$234K	0.50%	14.70%	"1,499"	-10.50%	14.10%	"1,387"	-20.90%	-4.80%	"2,732"	-10.50%	-38.60%	29	2	-15	98.70%	-0.20%	0.70%
"San Antonio, TX"	12/1/2020	$235K	0.60%	11.40%	"1,648"	9.90%	15.30%	"1,157"	-16.60%	1.40%	"2,326"	-14.90%	-42.90%	29	0	-23	98.80%	0.10%	1.00%
"San Antonio, TX"	1/1/2021	$231K	-1.90%	14.80%	"1,286"	-22.00%	17.40%	"1,425"	23.20%	-8.90%	"2,223"	-4.40%	-45.90%	33	4	-24	98.80%	0.00%	1.10%
"San Antonio, TX"	2/1/2021	$238K	3.20%	11.20%	"1,171"	-8.90%	-5.10%	"1,141"	-19.90%	-28.10%	"1,950"	-12.30%	-51.60%	29	-4	-27	98.90%	0.10%	1.30%
"San Antonio, TX"	3/1/2021	$242K	1.80%	12.20%	"1,548"	32.20%	2.80%	"1,763"	54.50%	-3.30%	"1,895"	-2.80%	-51.80%	24	-5	-23	99.40%	0.50%	1.10%
"San Antonio, TX"	4/1/2021	$250K	3.20%	16.30%	"1,607"	3.80%	16.40%	"2,024"	14.80%	30.00%	"2,014"	6.30%	-49.20%	19	-5	-15	100.50%	1.10%	2.20%
"San Antonio, TX"	5/1/2021	$255K	2.00%	14.70%	"1,716"	6.80%	25.70%	"2,009"	-0.70%	7.40%	"2,089"	3.70%	-45.70%	16	-3	-24	101.20%	0.60%	2.70%
"San Antonio, TX"	6/1/2021	$268K	5.10%	17.00%	"1,937"	12.90%	6.00%	"2,230"	11.00%	28.10%	"2,331"	11.60%	-31.20%	17	1	-17	101.90%	0.70%	3.50%
"San Antonio, TX"	7/1/2021	$270K	0.70%	17.40%	"1,896"	-2.10%	-4.80%	"2,324"	4.20%	19.80%	"2,651"	13.70%	-19.70%	16	-1	-16	101.90%	0.00%	3.30%
"San Antonio, TX"	8/1/2021	$272K	0.70%	16.90%	"1,887"	-0.50%	13.10%	"1,972"	-15.10%	11.30%	"2,628"	-0.90%	-17.50%	18	2	-9	101.20%	-0.70%	2.40%
"San Antonio, TX"	9/1/2021	$270K	-0.70%	16.50%	"1,787"	-5.30%	7.00%	"1,679"	-14.90%	-2.90%	"2,473"	-5.90%	-20.40%	20	2	-8	100.30%	-0.90%	1.20%
"San Antonio, TX"	10/1/2021	$275K	1.90%	18.30%	"1,663"	-6.90%	-0.70%	"1,684"	0.30%	-3.90%	"2,470"	-0.10%	-19.10%	23	3	-4	100.10%	-0.30%	1.20%
"San Antonio, TX"	11/1/2021	$275K	0.00%	17.70%	"1,446"	-13.00%	-3.50%	"1,418"	-15.80%	2.20%	"2,236"	-9.50%	-18.20%	23	0	-6	100.20%	0.10%	1.50%
"San Antonio, TX"	12/1/2021	$276K	0.40%	17.40%	"1,657"	14.60%	0.50%	"1,147"	-19.10%	-0.90%	"1,897"	-15.20%	-18.40%	25	2	-4	100.00%	-0.20%	1.20%
"San Antonio, TX"	1/1/2022	$269K	-2.70%	16.40%	"1,161"	-29.90%	-9.70%	"1,262"	10.00%	-11.40%	"1,631"	-14.00%	-26.60%	26	1	-7	99.60%	-0.40%	0.80%
"San Antonio, TX"	2/1/2022	$272K	1.30%	14.30%	"1,210"	4.20%	3.30%	"1,289"	2.10%	13.00%	"1,251"	-23.30%	-35.80%	25	-1	-4	100.50%	0.80%	1.60%
